T95018,T61609,T71025,X55715,T52185,T57633,R78934,T51529,M26697,T51023,D63874,T57630,M36981,M76378,M63391,M76378.2,T79152,H64489,X15183,X14958,Z50753,D31885,U30825,T60155,H40560,R87126,M22382,R42501,T51571,X12671,X70944,M76378.3,H40095,X70326,Z49269,T92451,Z49269.2,R75843,U29092,H43887,H11719,T86473,X12466,R08183,R36977,M80815,U09564,L08069,R84411,T96873,X74295,T40454,X12496,T47377,T62947,L05144,U26312,H77597,R64115,J02854,L41559,L25941,X86693,X74262,X63629,X13482,T83368,M36634,R52081,T86749,H87135,M26383,D42047,T67077,D00596,X53586,X54942,H20819,U17899,J05032,H08393,H06524,U32519,H55916,U25138,U19969,X56597,M91463,X62048,D29808,T60778,M64110,Tissue Type
0.20364046,-0.221797,0.01446584,1.4625133,0.2627336,0.96982305,0.19325494,-0.3430466,-1.2437589,-0.2405667,-0.3406208,0.92861128,-1.0123331,0.04945768,-0.0865705,-0.002484,1.9036617,-0.3955146,0.85334579,0.6959145,0.38170231,0.73063981,-0.6681106,0.40573236,-0.1374584,1.0217108,0.33258842,0.0057979,0.14664555,0.32933811,0.98601781,0.34070375,0.236995,1.6067187,0.34425042,0.09432761,0.25494313,1.8132879,-0.3094688,-0.7479348,-0.9742058,0.27442216,0.25336081,0.5944798,-0.2060163,-1.0805803,-0.2566059,0.11503698,1.0589365,-0.9443075,-0.9024769,-1.8135393,-0.237587,0.64229326,-0.3277802,0.84078067,0.92349543,-0.4308457,1.9026736,0.34809459,0.66458172,0.19446087,-0.6460192,0.10197742,0.81255301,0.6569397,0.58405882,-0.7746245,-1.8169636,-0.7548731,-0.3607603,-0.5171519,0.86510098,-0.0602332,-0.1020365,0.54770019,-0.1509243,0.04422524,-0.1594944,-0.6797913,0.23224243,-1.4033672,0.68903294,0.40935239,-0.3713918,-1.179751,-0.6225498,0.52081073,-1.0889848,-0.2944596,0.04411694,0.41810319,Colon
-1.2943217,-1.9002859,-0.9049441,0.36503495,-1.7354394,-0.248689,0.58867846,-1.3002775,-1.0447599,-1.1686267,-2.6845281,-0.4876124,-1.4121116,-0.471151,-1.0606808,-0.5893975,0.06909484,-2.1448213,-0.1397727,-0.8503447,0.67759428,-2.0174743,-1.1455126,1.027711,-2.8147796,0.68482803,-2.6164901,-0.7083755,0.64315729,-0.2717595,-1.2751284,-0.0861545,-0.5727578,-0.0869083,-0.1487473,0.18260228,-0.1030038,-0.7328355,-2.6755256,-0.1115888,2.1191054,-0.0037545,-1.0041198,-2.0918697,-0.8694533,-1.5086256,-1.4076249,-1.9333089,-0.6053944,-1.8488697,-0.3505945,-2.3993257,1.6044527,-0.9152322,-0.5880773,-0.9210095,-0.6543705,-0.6465415,-1.0791409,0.74048675,0.05674993,-1.0087955,-0.2447169,-0.8471347,1.0292608,-0.7296313,-0.7959244,-0.5528026,-1.0412939,-1.0093769,-0.9053415,1.0322987,0.10161995,2.1180282,0.33641886,-0.8443749,-0.7299613,-0.3943387,-1.4906945,-0.5080577,-1.1133263,-0.1963511,-1.9958745,0.58205805,-0.7239602,-1.2212557,-0.5637653,0.95198763,-0.6300986,-0.6021801,0.90732336,0.4989908,Colon
0.70838137,1.244371,0.00972858,-0.4617816,0.24298179,-1.6649488,0.28218843,1.0181717,0.49183622,2.8320339,1.7006983,-1.3860833,0.44885902,0.25469128,0.16250355,0.13030874,3.073005,0.06578919,0.05757851,0.31349999,-1.1863346,0.07688853,1.0210693,-0.1779953,1.4178046,-0.6298714,1.4810762,0.68271012,-0.1026652,-0.4334167,-0.5193298,0.45388783,0.73481434,-1.2942857,0.08489737,-0.2064803,-0.0903073,-0.5032577,-0.8743515,-1.3587923,0.01353521,-0.2298481,0.07702728,1.2466923,1.4460579,0.09445091,0.16910835,1.0936177,0.40715339,0.46356143,0.46474619,0.11826373,-0.9737189,0.23964537,0.78968044,-0.6278098,-0.6866982,-0.6086991,0.43843652,-0.2932254,-0.8674813,-0.34535,-0.0663192,-1.715357,0.35117576,-0.1218387,-0.6744621,-0.4190044,0.67249822,0.43908424,0.44307348,1.0845539,-1.0595174,-0.1451802,-1.7102566,-1.9639688,0.33512249,-1.468176,0.53135724,1.0446916,1.288613,-0.0580389,-0.6476981,0.92019953,0.09339931,0.094473,0.13464877,-0.4063616,0.43507413,-0.5561742,-0.4312236,-0.6086913,Colon
0.37802566,0.65616681,-0.3351665,1.7222614,0.70105012,1.0795168,-0.2063244,0.53356751,0.88344233,-0.4661676,-0.1091918,1.2900453,0.15798845,-0.8791035,-0.9417914,-1.027529,0.4315355,0.31954803,1.3884932,0.04664009,-0.2044481,0.63653608,0.2917036,-1.3747717,0.93862681,-0.7877937,0.52602679,0.19720369,-0.6268213,0.74173929,0.29305343,-0.5359469,0.22425697,0.60414541,-1.3263292,-1.1535641,-1.454034,1.2343654,0.27317018,-0.5727923,-0.2436317,1.1428285,-0.1925135,0.11357094,-0.1813293,-0.2324192,-0.7128416,-0.1641867,-0.722603,-0.3657658,-1.0831606,0.01171403,-1.1105027,1.2922151,0.06995331,-0.3590478,0.49517141,-0.4280016,0.60880472,-0.3959387,-0.3397834,0.85855819,-1.5543166,0.7664652,0.41311921,0.75018321,0.12005189,-1.0104921,0.2619039,-0.432585,-0.3831394,2.4665386,0.33038992,-0.4449391,1.0411143,0.7561459,-0.4657354,0.25916667,-0.0497967,0.02545509,0.17001789,-1.1844158,-0.6082492,0.71897535,-0.6086326,-1.1351134,0.67878514,0.4719015,-0.7895695,0.01341031,-2.4008348,-0.8492052,Colon
0.02013334,0.45761428,-1.1280773,0.56523348,-1.3041873,0.003314,-0.4587434,0.71724345,1.2664889,0.56196888,-0.4809948,-0.594637,1.8712485,-0.3262991,-0.749115,-0.3374205,0.51667674,-1.3521598,0.90289519,0.99067403,-1.0734265,0.64022693,2.1987845,-0.7579898,-0.9418295,-0.9473347,1.2129931,0.80761823,1.523304,0.73048402,0.04577674,0.0036544,1.3301655,0.1369681,-0.5518588,-0.4986317,-0.3518047,-0.0176061,0.26365339,-1.4587289,-1.1444054,2.0349888,1.6593608,1.7936321,2.4793562,-0.2714314,1.8556427,1.3104899,0.65552964,0.32163692,-1.8838292,1.3359622,0.17301608,0.87906135,1.4965146,-2.3402814,1.2176304,-1.4716405,0.67166596,-0.2933667,0.21825622,1.2320544,-1.2357305,1.660523,0.98917485,0.19558537,1.8656511,-1.6301629,0.32605385,0.98494327,0.40479475,0.96471099,-0.001097,0.18091996,0.3565762,0.34014663,-0.7867331,1.2197589,-0.2463723,1.991412,1.0159643,-2.1662318,1.0384823,0.80460771,-1.207372,-0.5384752,-1.076327,-1.1046904,1.4539767,-0.2263711,-0.8235902,-1.493731,Colon
0.013497,0.39653457,-1.7024912,1.2087163,0.73100208,1.0690903,-2.1476537,0.08244388,0.77375449,0.45000443,1.5973697,1.1474211,0.46674906,-1.3533747,-1.1957589,-1.3475995,0.80662584,-1.0417526,1.5486309,0.49812633,0.03719288,1.0926772,0.88637401,-2.2588709,0.42225723,-0.692629,0.8596374,0.81804996,-1.1221814,0.78505375,1.0063729,-0.5764478,1.023724,0.79079045,-0.6920923,-1.7078282,-0.4971252,0.9417593,1.9641165,-0.6753024,-2.6009943,1.6462069,-0.8899427,0.05531908,1.9957084,-0.9948341,1.5985093,0.29285011,-1.5838991,0.12858661,-0.2973328,0.11353163,-1.5693104,1.1088569,-0.0394218,0.62790775,1.5171223,-1.1528846,1.833168,-1.5871052,1.4356566,-0.6525477,-0.2462186,2.4126369,1.6927583,2.0404301,-2.3691761,0.08188966,1.6136221,0.69933768,0.44167217,-0.3636195,-1.5824411,-1.4246025,0.65884188,0.54114806,0.2161712,1.7057467,2.0023568,0.6873439,1.2566157,-0.5577511,0.12566941,-0.9582641,0.36151919,-0.553299,1.5838512,-1.1551222,0.58871673,-0.0894914,-1.1281191,-0.639385,Colon
1.308645,0.73035743,0.53844689,-0.441919,0.9889908,-0.8210493,0.44689223,0.44248171,0.23250572,0.29124364,1.5927034,-1.1118844,-0.5261255,0.24478914,0.11115902,0.32099069,-1.2666895,0.27160896,-0.552408,0.17428994,0.25417833,-0.3352476,-0.0702135,0.18525697,1.2238645,0.09726032,0.4649721,-0.1803311,-0.6741324,0.30337095,-1.1488929,0.62672239,-0.376883,0.00852358,-0.1196478,0.00733308,0.05661806,-0.7690918,0.22375206,-0.4577503,0.21755802,-0.319979,0.47260718,0.34476124,1.0919596,0.12502366,0.88777454,0.29200349,-0.0115519,-0.470316,-0.3595556,-0.3773441,-0.9209006,0.6922392,-0.4345973,0.8603012,-0.0426694,-0.0228742,-0.2346716,0.1504026,0.02169094,0.0101855,0.03050231,-0.8955657,-0.0501608,-0.7537445,0.88748553,0.27075513,-0.2098985,0.1722534,0.65861945,-0.1214646,-0.6930977,0.60171093,-1.6533759,-0.581663,0.4427631,-1.0443215,0.09023332,0.20581174,1.2139358,-0.1142801,-0.0802786,1.9072937,0.1020108,-0.1804805,0.34049984,0.04309619,-0.111669,-0.637055,-0.2363202,0.15461051,Colon
1.3867693,0.77038316,0.83312975,-0.0272477,-0.2650837,-0.1572528,-0.014424,0.51274167,0.35784442,0.60502802,-0.3170018,-0.2345968,0.763968,0.14884255,-0.1594682,0.16291928,-0.0123183,0.05272037,0.20001424,0.33392584,-0.7108081,0.24757533,0.87477555,0.23382868,-0.1241995,0.30903641,0.26533913,0.91530446,0.74260322,-1.1794673,-0.9135531,0.4671532,1.36311,0.3312251,-1.2065155,-0.3837234,0.07267601,-0.5817548,-0.0169558,0.76498886,-0.1646743,-0.8795542,-0.4184071,-0.092797,0.79600988,0.25987918,0.32103926,-0.2838625,-0.2125758,-0.3542667,-0.8834658,0.57744122,-0.2103878,0.63735381,0.88193907,0.14555193,-1.0245126,-0.3425416,-1.154755,0.08150406,-0.9252384,0.18871781,-1.0149743,-0.7406376,0.24414912,-1.0533913,-0.5218109,-0.3563177,-0.3987514,0.1181458,0.60276091,-0.5095329,0.04093165,0.72396509,0.09490794,-1.0361847,-0.0632855,-0.812033,-0.074875,-0.3642697,0.87586409,-2.1855281,-1.0756823,0.06131175,-0.2306652,-0.6719955,-0.3572651,0.0469012,-0.1291876,0.06678634,0.7418076,-0.4249078,Colon
1.7759483,1.4520612,-0.2360324,1.2447503,0.25645573,0.65414764,-1.4352094,1.500706,0.91870025,0.86197236,-0.1713977,-0.0582551,0.66555224,-0.4072826,-0.6628421,-0.422811,1.7247606,-1.9553534,1.4760335,0.0781562,0.5896701,1.0278876,1.2113627,-0.9080718,-0.2543259,0.18371911,0.63967876,-0.0563854,-0.0802187,1.0180446,-0.5460566,-0.3076258,1.230852,0.25446046,0.08186785,-1.8085978,0.31226428,0.02920062,1.3149195,1.1767337,0.88356365,0.51715962,0.12493586,0.19925262,1.5200622,-0.1616183,0.31490805,0.56736736,-0.0033253,0.33308526,-0.7264115,-0.9452032,-1.0880497,0.90648334,1.3209279,-1.4488354,0.26389259,-0.4651367,1.0409032,-0.6560669,1.6186325,-0.072998,-0.4553555,0.27768396,0.41660475,-0.0418438,0.44991307,-0.8203809,0.47094909,0.31601787,-0.5163727,0.57474363,-0.2580529,0.0798201,-1.0268333,0.9711041,-0.5743902,1.077184,0.16272938,1.2331439,0.84430735,-0.406615,0.59082963,0.08857545,-0.0648518,0.15973621,-0.5213781,0.37761601,-0.5717594,-0.4287272,0.99568725,-0.3653066,Colon
1.2976954,1.5213912,-0.8794197,0.50235624,-0.1622765,0.36420374,-0.6947321,1.0549812,1.2861616,0.68103497,-0.4264152,-0.9319714,1.2630538,-0.8455503,-0.73019,-1.0647844,0.34832001,-0.3613013,0.24483393,0.55439859,-0.8551351,0.76913691,1.6585794,-1.2707878,-0.3391239,0.03579728,1.193086,0.7787597,0.05922804,0.22431366,0.41569449,-0.5114474,0.30746908,0.33883191,-0.5739204,-1.6455998,-0.4732006,-0.2169684,1.3965306,-1.4137512,-0.6617581,1.1380791,0.26002434,1.0357496,1.6335716,0.94448785,1.4700968,1.6724649,0.91252462,0.46679203,-1.477135,1.1115764,-0.5593846,0.90019155,1.1088682,-0.3738047,0.45552851,-2.5945223,0.9633757,-0.9375754,1.038899,1.0049542,-1.6420728,0.47932239,1.0180307,-0.4337232,-0.073023,-2.0352124,0.53103062,0.86735374,0.97820369,0.65956123,0.26680815,-1.1198223,0.25925085,-0.5139185,-0.0397464,0.57628488,-0.1134239,1.3182232,1.5442071,-2.2279774,0.16446459,0.337008,-2.0410712,-0.7086345,-0.0789064,-0.7195763,0.87291136,-0.7290537,-2.5639988,-1.2065795,Colon
