Site,A1,Moisture,Management,Use,Manure,Achimill,Agrostol,Airaprae,Alopgeni,Anthodor,Bellpere,Bromhord,Chenalbu,Cirsarve,Comapalu,Eleopalu,Elymrepe,Empenigr,Hyporadi,Juncarti,Juncbufo,Lolipere,Planlanc,Poaprat,Poatriv,Ranuflam,Rumeacet,Sagiproc,Salirepe,Scorautu,Trifprat,Trifrepe,Vicilath,Bracruta,Callcusp
1,2.8,1,SF,Haypastu,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,4,2,0,0,0,0,0,0,0,0,0,0
2,3.5,1,BF,Haypastu,2,3,0,0,2,0,3,4,0,0,0,0,4,0,0,0,0,5,0,4,7,0,0,0,0,5,0,5,0,0,0
3,4.3,2,SF,Haypastu,4,0,4,0,7,0,2,0,0,0,0,0,4,0,0,0,0,6,0,5,6,0,0,0,0,2,0,2,0,2,0
4,4.2,2,SF,Haypastu,4,0,8,0,2,0,2,3,0,2,0,0,4,0,0,0,0,5,0,4,5,0,0,5,0,2,0,1,0,2,0
5,6.3,1,HF,Hayfield,2,2,0,0,0,4,2,2,0,0,0,0,4,0,0,0,0,2,5,2,6,0,5,0,0,3,2,2,0,2,0
6,4.3,1,HF,Haypastu,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,3,4,0,6,0,0,3,5,5,0,6,0
7,2.8,1,HF,Pasture,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,6,5,4,5,0,3,0,0,3,2,2,0,2,0
8,4.2,5,HF,Pasture,3,0,4,0,5,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,4,2,0,2,0,3,0,2,0,2,0
9,3.7,4,HF,Hayfield,1,0,3,0,3,0,0,0,0,0,0,0,6,0,0,4,4,2,0,4,5,0,2,2,0,2,0,3,0,2,0
10,3.3,2,BF,Hayfield,1,4,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,0,0,3,0,6,1,2,0
11,3.5,1,BF,Pasture,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,3,4,0,0,0,2,0,5,0,3,2,4,0
12,5.8,4,SF,Haypastu,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,4,0,2,0,3,0,4,0
13,6,5,SF,Haypastu,3,0,5,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,9,2,0,2,0,2,0,2,0,0,0
14,9.3,5,NM,Pasture,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,4
15,11.5,5,NM,Haypastu,0,0,4,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,4,0
16,5.7,5,SF,Pasture,3,0,7,0,4,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,4,3
17,4,2,NM,Hayfield,0,2,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0
18,4.6,1,NM,Hayfield,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,3,5,0,2,1,6,0
19,3.7,5,NM,Hayfield,0,0,0,3,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,3,3,6,0,2,0,3,0
20,3.5,5,NM,Hayfield,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,5,2,0,0,0,4,3
